gamma,lift_num,lift_theory,relative_error
-12.566370614359172,-15.393804002589992,-15.393804002589988,2.220446049250313e-16
-12.252211349000193,-15.008958902525235,-15.008958902525238,2.220446049250313e-16
-11.938052083641214,-14.624113802460485,-14.624113802460489,2.220446049250313e-16
-11.623892818282235,-14.23926870239574,-14.239268702395739,2.220446049250313e-16
-11.309733552923255,-13.854423602330991,-13.85442360233099,2.220446049250313e-16
-10.995574287564276,-13.46957850226624,-13.46957850226624,0.0
-10.681415022205297,-13.08473340220149,-13.08473340220149,0.0
-10.367255756846317,-12.69988830213674,-12.69988830213674,0.0
-10.053096491487338,-12.31504320207199,-12.31504320207199,0.0
-9.738937226128359,-11.930198102007243,-11.93019810200724,2.220446049250313e-16
-9.42477796076938,-11.545353001942491,-11.545353001942491,0.0
-9.1106186954104,-11.160507901877741,-11.160507901877741,0.0
-8.79645943005142,-10.775662801812992,-10.775662801812992,0.0
-8.482300164692441,-10.390817701748244,-10.390817701748242,2.220446049250313e-16
-8.168140899333462,-10.005972601683492,-10.005972601683492,0.0
-7.853981633974483,-9.621127501618743,-9.621127501618743,0.0
-7.5398223686155035,-9.236282401553993,-9.236282401553993,0.0
-7.225663103256524,-8.851437301489243,-8.851437301489243,0.0
-6.911503837897545,-8.466592201424493,-8.466592201424493,0.0
-6.5973445725385655,-8.081747101359744,-8.081747101359744,0.0
-6.283185307179586,-7.696902001294994,-7.696902001294994,0.0
-5.969026041820607,-7.312056901230244,-7.312056901230244,0.0
-5.654866776461628,-6.9272118011654955,-6.927211801165495,2.220446049250313e-16
-5.340707511102648,-6.542366701100743,-6.542366701100745,2.220446049250313e-16
-5.026548245743669,-6.157521601035995,-6.157521601035995,0.0
-4.71238898038469,-5.772676500971246,-5.7726765009712455,2.220446049250313e-16
-4.39822971502571,-5.387831400906495,-5.387831400906496,1.1102230246251565e-16
-4.084070449666731,-5.002986300841746,-5.002986300841746,0.0
-3.7699111843077517,-4.618141200776996,-4.618141200776996,0.0
-3.4557519189487724,-4.233296100712248,-4.233296100712247,2.220446049250313e-16
-3.141592653589793,-3.8484510006474975,-3.848451000647497,2.220446049250313e-16
-2.827433388230814,-3.4636059005827473,-3.4636059005827473,0.0
-2.5132741228718345,-3.0787608005179976,-3.0787608005179976,0.0
-2.199114857512855,-2.693915700453248,-2.693915700453248,0.0
-1.8849555921538759,-2.309070600388498,-2.309070600388498,0.0
-1.5707963267948966,-1.9242255003237485,-1.9242255003237485,0.0
-1.2566370614359172,-1.5393804002589984,-1.5393804002589988,3.3306690738754696e-16
-0.9424777960769379,-1.1545353001942484,-1.154535300194249,5.551115123125783e-16
-0.6283185307179586,-0.7696902001295,-0.7696902001294994,6.661338147750939e-16
-0.3141592653589793,-0.3848451000647497,-0.3848451000647497,0.0
0.0,-0.0,0.0,0.0
0.3141592653589793,0.38484510006475,0.3848451000647497,6.661338147750939e-16
0.6283185307179586,0.7696902001294996,0.7696902001294994,2.220446049250313e-16
0.9424777960769379,1.1545353001942484,1.154535300194249,5.551115123125783e-16
1.2566370614359172,1.5393804002589981,1.5393804002589988,4.440892098500626e-16
1.5707963267948966,1.924225500323748,1.9242255003237485,2.220446049250313e-16
1.8849555921538759,2.309070600388498,2.309070600388498,0.0
2.199114857512855,2.6939157004532475,2.693915700453248,1.1102230246251565e-16
2.5132741228718345,3.0787608005179985,3.0787608005179976,2.220446049250313e-16
2.827433388230814,3.463605900582748,3.4636059005827473,2.220446049250313e-16
3.141592653589793,3.848451000647497,3.848451000647497,0.0
3.4557519189487707,4.233296100712244,4.233296100712244,0.0
3.7699111843077517,4.6181412007769955,4.618141200776996,2.220446049250313e-16
4.084070449666733,5.002986300841748,5.002986300841748,0.0
4.39822971502571,5.387831400906495,5.387831400906496,1.1102230246251565e-16
4.712388980384688,5.772676500971243,5.772676500971243,0.0
5.026548245743669,6.157521601035996,6.157521601035995,2.220446049250313e-16
5.34070751110265,6.542366701100747,6.542366701100747,0.0
5.654866776461628,6.9272118011654955,6.927211801165495,2.220446049250313e-16
5.969026041820605,7.312056901230242,7.312056901230242,0.0
6.283185307179586,7.696902001294995,7.696902001294994,2.220446049250313e-16
6.597344572538567,8.081747101359745,8.081747101359745,0.0
6.911503837897545,8.466592201424493,8.466592201424493,0.0
7.225663103256522,8.851437301489241,8.851437301489241,0.0
7.5398223686155035,9.236282401553993,9.236282401553993,0.0
7.853981633974485,9.621127501618744,9.621127501618744,0.0
8.168140899333462,10.005972601683492,10.005972601683492,0.0
8.48230016469244,10.39081770174824,10.39081770174824,0.0
8.79645943005142,10.775662801812992,10.775662801812992,0.0
9.110618695410402,11.160507901877743,11.160507901877743,0.0
9.42477796076938,11.545353001942493,11.545353001942491,2.220446049250313e-16
9.738937226128357,11.930198102007237,11.930198102007237,0.0
10.053096491487338,12.315043202071992,12.31504320207199,2.220446049250313e-16
10.367255756846319,12.699888302136744,12.699888302136742,2.220446049250313e-16
10.681415022205297,13.08473340220149,13.08473340220149,0.0
10.995574287564274,13.469578502266236,13.469578502266236,0.0
11.309733552923255,13.85442360233099,13.85442360233099,0.0
11.623892818282236,14.23926870239574,14.23926870239574,0.0
11.938052083641214,14.62411380246049,14.624113802460489,2.220446049250313e-16
12.252211349000191,15.008958902525235,15.008958902525235,0.0
12.566370614359172,15.39380400258999,15.393804002589988,2.220446049250313e-16
