theta_deg,cp_num,cp_theo,error,u,v,v_mag
0.0,1.0,1.0,0.0,3.3306690738754696e-16,-0.0,3.3306690738754696e-16
5.0,0.9696155060244162,0.9696155060244162,0.0,0.04557674096337627,-0.5209445330007908,0.5229344564859489
10.0,0.8793852415718167,0.8793852415718167,0.0,0.18092213764227405,-1.0260604299770062,1.041889066001582
14.999999999999998,0.7320508075688774,0.7320508075688774,0.0,0.40192378864668454,-1.4999999999999996,1.5529142706151242
20.0,0.5320888862379562,0.5320888862379561,1.1102230246251565e-16,0.7018666706430656,-1.9283628290596178,2.052120859954012
25.0,0.2855752193730784,0.2855752193730786,-2.220446049250313e-16,1.0716371709403818,-2.2981333293569346,2.535709570444197
29.999999999999996,2.220446049250313e-16,2.220446049250313e-16,0.0,1.4999999999999991,-2.5980762113533156,2.9999999999999996
35.0,-0.3159597133486629,-0.31595971334866224,-6.661338147750939e-16,1.9739395700229934,-2.8190778623577257,3.4414586181062767
40.0,-0.6527036446661394,-0.652703644666139,-4.440892098500626e-16,2.479055466999209,-2.9544232590366244,3.856725658119236
45.0,-0.9999999999999996,-0.9999999999999996,0.0,2.9999999999999996,-3.0,4.242640687119285
50.0,-1.3472963553338606,-1.3472963553338606,0.0,3.520944533000791,-2.954423259036624,4.596266658713868
55.0,-1.6840402866513373,-1.6840402866513373,0.0,4.026060429977006,-2.8190778623577253,4.914912265733951
59.99999999999999,-1.9999999999999987,-1.9999999999999996,8.881784197001252e-16,4.499999999999999,-2.598076211353316,5.196152422706631
65.0,-2.2855752193730767,-2.2855752193730785,1.7763568394002505e-15,4.928362829059617,-2.2981333293569346,5.4378467222198985
70.0,-2.5320888862379554,-2.5320888862379554,0.0,5.298133329356934,-1.9283628290596184,5.63815572471545
75.0,-2.732050807568876,-2.7320508075688776,1.7763568394002505e-15,5.598076211353315,-1.4999999999999996,5.795554957734408
80.0,-2.8793852415718173,-2.8793852415718164,-8.881784197001252e-16,5.819077862357726,-1.026060429977007,5.908846518073249
84.99999999999999,-2.9696155060244145,-2.9696155060244163,1.7763568394002505e-15,5.9544232590366235,-0.5209445330007919,5.977168188550472
90.0,-3.0,-3.0,0.0,6.0,-3.6739403974420594e-16,6.0
95.0,-2.9696155060244154,-2.9696155060244163,8.881784197001252e-16,5.954423259036624,0.52094453300079,5.977168188550473
100.0,-2.8793852415718173,-2.8793852415718164,-8.881784197001252e-16,5.819077862357726,1.0260604299770062,5.908846518073249
105.0,-2.7320508075688767,-2.7320508075688776,8.881784197001252e-16,5.598076211353316,1.4999999999999991,5.795554957734409
110.0,-2.5320888862379562,-2.5320888862379562,0.0,5.298133329356935,1.9283628290596182,5.638155724715451
115.0,-2.2855752193730803,-2.2855752193730794,-8.881784197001252e-16,4.928362829059619,2.2981333293569333,5.437846722219901
119.99999999999999,-2.0000000000000013,-2.0000000000000004,-8.881784197001252e-16,4.500000000000002,2.598076211353315,5.196152422706633
124.99999999999999,-1.684040286651339,-1.684040286651339,0.0,4.026060429977008,2.819077862357725,4.914912265733952
130.0,-1.3472963553338606,-1.3472963553338606,0.0,3.520944533000791,2.954423259036624,4.596266658713868
135.0,-1.0000000000000004,-1.0000000000000004,0.0,3.000000000000001,3.0,4.242640687119286
140.0,-0.6527036446661401,-0.6527036446661401,0.0,2.4790554669992098,2.9544232590366244,3.856725658119237
145.0,-0.3159597133486629,-0.3159597133486638,8.881784197001252e-16,1.9739395700229956,2.8190778623577253,3.441458618106277
150.0,2.220446049250313e-16,2.220446049250313e-16,0.0,1.4999999999999991,2.5980762113533156,2.9999999999999996
155.0,0.2855752193730784,0.2855752193730784,0.0,1.0716371709403818,2.2981333293569346,2.535709570444197
160.0,0.5320888862379557,0.5320888862379557,0.0,0.7018666706430666,1.9283628290596184,2.0521208599540133
165.0,0.7320508075688767,0.7320508075688767,0.0,0.4019237886466849,1.5000000000000013,1.5529142706151262
169.99999999999997,0.8793852415718163,0.8793852415718163,0.0,0.18092213764227538,1.0260604299770084,1.0418890660015843
175.0,0.969615506024416,0.9696155060244162,-1.1102230246251565e-16,0.04557674096337627,0.5209445330007911,0.5229344564859493
180.0,1.0,1.0,0.0,3.3306690738754696e-16,7.347880794884119e-16,8.067509445640416e-16
185.0,0.9696155060244163,0.9696155060244163,0.0,0.04557674096337594,-0.5209445330007896,0.5229344564859475
190.0,0.8793852415718172,0.8793852415718172,0.0,0.18092213764227405,-1.0260604299770044,1.0418890660015803
195.0,0.7320508075688774,0.7320508075688772,2.220446049250313e-16,0.40192378864668454,-1.4999999999999996,1.5529142706151242
200.0,0.5320888862379562,0.5320888862379562,0.0,0.7018666706430653,-1.9283628290596178,2.052120859954012
205.0,0.28557521937307917,0.28557521937307917,0.0,1.0716371709403814,-2.2981333293569333,2.5357095704441956
210.0,8.881784197001252e-16,8.881784197001252e-16,0.0,1.4999999999999987,-2.5980762113533156,2.9999999999999987
214.99999999999997,-0.3159597133486618,-0.31595971334866135,-4.440892098500626e-16,1.973939570022992,-2.819077862357725,3.4414586181062754
220.0,-0.6527036446661394,-0.652703644666139,-4.440892098500626e-16,2.479055466999209,-2.9544232590366244,3.856725658119236
225.0,-0.9999999999999991,-0.9999999999999996,4.440892098500626e-16,2.9999999999999987,-2.999999999999999,4.242640687119284
230.0,-1.3472963553338597,-1.3472963553338597,0.0,3.5209445330007902,-2.9544232590366244,4.596266658713867
235.0,-1.684040286651336,-1.684040286651336,0.0,4.026060429977004,-2.8190778623577257,4.91491226573395
239.99999999999997,-1.9999999999999982,-1.9999999999999982,0.0,4.499999999999997,-2.5980762113533173,5.19615242270663
244.99999999999997,-2.2855752193730785,-2.2855752193730767,-1.7763568394002505e-15,4.9283628290596155,-2.298133329356937,5.437846722219899
249.99999999999997,-2.532088886237954,-2.532088886237955,8.881784197001252e-16,5.298133329356931,-1.9283628290596209,5.638155724715449
255.00000000000003,-2.7320508075688767,-2.7320508075688776,8.881784197001252e-16,5.598076211353316,-1.4999999999999991,5.795554957734409
260.0,-2.8793852415718173,-2.8793852415718164,-8.881784197001252e-16,5.819077862357726,-1.0260604299770062,5.908846518073249
265.0,-2.9696155060244145,-2.9696155060244163,1.7763568394002505e-15,5.9544232590366235,-0.5209445330007914,5.977168188550472
270.0,-3.0,-3.0,0.0,6.0,-1.1021821192326177e-15,6.0
275.0,-2.9696155060244154,-2.9696155060244163,8.881784197001252e-16,5.954423259036624,0.5209445330007894,5.977168188550473
280.0,-2.8793852415718173,-2.8793852415718173,0.0,5.819077862357726,1.0260604299770042,5.908846518073249
285.0,-2.7320508075688794,-2.7320508075688785,-8.881784197001252e-16,5.598076211353318,1.4999999999999978,5.795554957734411
290.0,-2.532088886237957,-2.532088886237957,0.0,5.298133329356936,1.9283628290596155,5.6381557247154515
294.99999999999994,-2.2855752193730816,-2.2855752193730807,-8.881784197001252e-16,4.928362829059621,2.298133329356932,5.437846722219902
300.0,-1.9999999999999987,-1.9999999999999996,8.881784197001252e-16,4.499999999999999,2.598076211353316,5.196152422706631
305.0,-1.6840402866513373,-1.6840402866513373,0.0,4.026060429977006,2.8190778623577253,4.914912265733951
310.0,-1.347296355333862,-1.347296355333861,-8.881784197001252e-16,3.5209445330007916,2.954423259036624,4.596266658713869
315.0,-1.0000000000000004,-1.0000000000000009,4.440892098500626e-16,3.0000000000000018,2.9999999999999996,4.242640687119286
320.0,-0.6527036446661407,-0.6527036446661407,0.0,2.4790554669992106,2.9544232590366253,3.8567256581192377
325.0,-0.3159597133486638,-0.31595971334866446,6.661338147750939e-16,1.9739395700229967,2.8190778623577257,3.4414586181062785
330.0,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,1.5000000000000027,2.5980762113533173,3.0000000000000027
335.0,0.2855752193730764,0.2855752193730767,-3.3306690738754696e-16,1.0716371709403854,2.298133329356937,2.5357095704442005
339.99999999999994,0.532088886237954,0.5320888862379541,-1.1102230246251565e-16,0.7018666706430686,1.9283628290596218,2.052120859954017
345.0,0.7320508075688776,0.7320508075688774,2.220446049250313e-16,0.40192378864668454,1.4999999999999991,1.5529142706151238
350.0,0.8793852415718166,0.8793852415718167,-1.1102230246251565e-16,0.18092213764227405,1.0260604299770069,1.0418890660015827
355.0,0.969615506024416,0.969615506024416,0.0,0.04557674096337627,0.5209445330007918,0.5229344564859499
